kabupaten,tahun,produktivitas,komoditas
BOGOR,2020,314.17,Ubi Kayu
SUKABUMI,2020,428.53,Ubi Kayu
CIANJUR,2020,277.91,Ubi Kayu
BANDUNG,2020,325.1,Ubi Kayu
GARUT,2020,260.73,Ubi Kayu
TASIKMALAYA,2020,278.31,Ubi Kayu
CIAMIS,2020,462.97,Ubi Kayu
KUNINGAN,2020,289.02,Ubi Kayu
CIREBON,2020,238.58,Ubi Kayu
MAJALENGKA,2020,242.79,Ubi Kayu
SUMEDANG,2020,320.78,Ubi Kayu
INDRAMAYU,2020,364.0,Ubi Kayu
SUBANG,2020,307.47,Ubi Kayu
PURWAKARTA,2020,312.63,Ubi Kayu
KARAWANG,2020,199.38,Ubi Kayu
BEKASI,2020,114.04,Ubi Kayu
BANDUNG BARAT,2020,434.86,Ubi Kayu
PANGANDARAN,2020,340.93,Ubi Kayu
BOGOR,2020,264.66,Ubi Kayu
SUKABUMI,2020,229.52,Ubi Kayu
BANDUNG,2020,180.63,Ubi Kayu
CIREBON,2020,200.0,Ubi Kayu
BEKASI,2020,102.26,Ubi Kayu
DEPOK,2020,250.88,Ubi Kayu
CIMAHI,2020,209.74,Ubi Kayu
TASIKMALAYA,2020,172.66,Ubi Kayu
BANJAR,2020,223.0,Ubi Kayu
BOGOR,2021,358.62,Ubi Kayu
SUKABUMI,2021,442.79,Ubi Kayu
CIANJUR,2021,257.47,Ubi Kayu
BANDUNG,2021,327.66,Ubi Kayu
GARUT,2021,288.04,Ubi Kayu
TASIKMALAYA,2021,261.38,Ubi Kayu
CIAMIS,2021,418.83,Ubi Kayu
KUNINGAN,2021,370.72,Ubi Kayu
CIREBON,2021,277.56,Ubi Kayu
MAJALENGKA,2021,326.63,Ubi Kayu
SUMEDANG,2021,263.33,Ubi Kayu
INDRAMAYU,2021,335.09,Ubi Kayu
SUBANG,2021,534.14,Ubi Kayu
PURWAKARTA,2021,369.48,Ubi Kayu
KARAWANG,2021,320.29,Ubi Kayu
BEKASI,2021,0.0,Ubi Kayu
BANDUNG BARAT,2021,338.06,Ubi Kayu
