kabupaten_kota,latitude,longitude
Kabupaten Tulangbawang,-4.48052,105.24169
Kabupaten Pesawaran,-5.38307,105.09003
Kabupaten Pringsewu,-5.34407,105.00716
Kabupaten Mesuji,-3.87201,105.43494
Kabupaten Tulang Bawang Barat,-4.49926,105.12029
Kabupaten Pesisir Barat,-5.19005,103.93374
Kota Bandar Lampung,-5.39542,105.26403
Kota Metro,-5.11834,105.30689
Kabupaten Bangka,-1.87663,106.11354
Kabupaten Belitung,-2.74015,107.65323
Kabupaten Bangka Barat,-2.06457,105.16147
Kabupaten Bangka Tengah,-2.48624,106.41238
Kabupaten Bangka Selatan,-2.99909,106.46538
Kabupaten Belitung Timur,-2.87051,108.27865
Kota Pangkal Pinang,-2.13212,106.11606
Kabupaten Karimun,1.03317,103.37606
Kabupaten Bintan,1.08914,104.50337
Kabupaten Natuna,3.94193,108.37965
Kabupaten Lingga,-0.20982,104.60489
Kabupaten Kepulauan Anambas,3.21495,106.24907
Kota Batam,1.1293,104.05023
Kota Tanjung Pinang,0.91815,104.46596
Kabupaten Kepulauan Seribu,-5.74657,106.61325
Kota Jakarta Selatan,-6.24853,106.82941
Kota Jakarta Timur,-6.16631,106.76343
Kota Jakarta Pusat,-6.18043,106.83372
Kota Jakarta Barat,-6.16637,106.76944
Kota Jakarta Utara,-6.14874,106.90261
Kabupaten Bogor,-6.48723,106.84872
Kabupaten Sukabumi,-7.06086,106.71864
Kabupaten Cianjur,-6.81725,107.13073
Kabupaten Bandung,-7.02523,107.52454
Kabupaten Garut,-7.22791,107.9087
Kabupaten Tasikmalaya,-7.35015,108.12472
Kabupaten Ciamis,-7.32975,108.32957
Kabupaten Kuningan,-6.98333,108.48333
Kabupaten Cirebon,-6.75906,108.48875
Kabupaten Majalengka,-6.8531,108.22589
Kabupaten Sumedang,0.60959,110.03306
Kabupaten Indramayu,-6.33632,108.3251
Kabupaten Subang,-6.56936,107.7524
Kabupaten Purwakarta,-6.53868,107.44994
Kabupaten Karawang,-6.32273,107.33758
Kabupaten Bekasi,-6.36722,107.17228
Kabupaten Bandung Barat,-6.89371,107.4322
Kabupaten Pangandaran,-7.6151,108.4988
Kota Bogor,-6.59748,106.80677
Kota Sukabumi,-6.91776,106.93293
Kota Bandung,-6.91776,107.62529
Kota Cirebon,-6.73331,108.55472
Kota Bekasi,-6.23963,106.97715
Kota Depok,-6.40319,106.79135
Kota Cimahi,-6.88024,107.5355
Kota Tasikmalaya,-7.35152,108.21574
Kota Banjar,-7.37129,108.53328
Kabupaten Cilacap,-7.69817,109.02425
Kabupaten Banyumas,-7.48321,109.14044
Kabupaten Purbalingga,-7.39075,109.3638
Kabupaten Banjarnegara,-7.40271,109.6814
Kabupaten Kebumen,-7.67868,109.6565
Kabupaten Purworejo,-7.70973,110.008
Kabupaten Wonosobo,-7.36211,109.8994
Kabupaten Magelang,-7.55442,110.25446
Kabupaten Boyolali,-7.52382,110.5959
Kabupaten Klaten,-7.71169,110.5955
Kabupaten Sukoharjo,-7.68088,110.81953
Kabupaten Wonogiri,-7.81778,110.9206
Kabupaten Karanganyar,-7.59611,110.95083
Kabupaten Sragen,-7.43023,111.0213
Kabupaten Grobogan,-7.02172,110.96259
Kabupaten Blora,-6.96932,111.41667
Kabupaten Rembang,-6.71124,111.3453
Kabupaten Pati,-6.75134,111.038
Kabupaten Kudus,-6.80409,110.8382
Kabupaten Jepara,-6.55961,110.6717
Kabupaten Demak,-6.88811,110.6393
Kabupaten Semarang,-7.13652,110.4086
Kabupaten Temanggung,-7.31667,110.1748
