,kabupaten,tahun,temperature,temp_max,temp_min,rainfall,humidity,wind_speed,solar_radiation
0,ACEH BARAT,2015,26.452109589041097,27.958082191780825,25.246904109589043,2443.15,83.82164383561644,1.4532602739726028,17.427972602739725
1,ACEH BARAT,2016,26.562650273224044,28.13060109289617,25.324016393442623,3299.55,84.33439890710382,1.4749726775956284,17.387185792349726
2,ACEH BARAT,2017,26.34323287671233,27.936356164383565,25.094657534246572,2628.98,83.402,1.4622191780821918,17.314767123287673
3,ACEH BARAT,2018,26.38350684931507,27.876821917808215,25.23676712328767,2826.55,83.77698630136986,1.4372328767123288,17.31082191780822
4,ACEH BARAT,2019,26.726246575342465,28.311479452054797,25.519671232876714,2237.04,83.66860273972603,1.4192054794520548,17.766027397260274
5,ACEH BARAT,2020,26.619289617486338,28.21185792349727,25.379180327868855,3205.68,82.9048087431694,1.3952732240437158,17.21535519125683
6,ACEH BARAT,2021,26.461780821917806,28.061315068493148,25.175917808219175,2925.5,82.47,1.3955342465753424,17.46764383561644
7,ACEH BARAT,2022,26.371698630136986,27.940164383561644,25.141945205479452,3096.88,83.29391780821918,1.4565753424657533,16.679917808219177
8,ACEH BARAT,2023,26.710520547945205,28.200931506849315,25.544191780821915,2769.44,84.27901369863014,1.4534794520547945,16.832
9,ACEH BARAT,2024,27.1103825136612,28.613142076502733,25.91051912568306,2915.01,84.1091256830601,1.4558743169398907,17.333333333333332
10,ACEH BARAT,2025,26.77531506849315,28.420849315068494,25.467972602739724,2499.88,83.30306849315068,1.4866301369863013,16.75482191780822
11,ACEH BARAT DAYA,2015,25.26408219178082,26.546109589041095,24.173506849315068,2801.95,83.15794520547945,1.7431232876712328,18.72476712328767
12,ACEH BARAT DAYA,2016,25.41893442622951,26.761092896174862,24.336338797814207,3548.36,82.77483606557377,1.8546448087431693,18.327158469945356
13,ACEH BARAT DAYA,2017,25.129287671232877,26.47309589041096,24.002794520547948,2970.49,82.25731506849316,1.719671232876712,18.683698630136988
14,ACEH BARAT DAYA,2018,25.20186301369863,26.553643835616437,24.132767123287667,2969.56,82.33043835616438,1.6697260273972605,18.6647397260274
