kabupaten,tahun,produktivitas,komoditas,temperature,temp_max,temp_min,rainfall,humidity,wind_speed,solar_radiation
MAJALENGKA,2019,73.56,Padi,22.802767123287676,27.46539726027397,19.337013698630138,2364.55,85.61572602739726,1.7029589041095892,19.38375342465753
SUMEDANG,2019,65.18,Padi,25.77038356164384,29.00654794520548,23.139890410958905,3271.8,91.13542465753424,0.1043013698630137,17.576054794520548
INDRAMAYU,2019,77.01,Padi,26.912356164383564,30.58416438356164,23.89849315068493,2138.61,77.43671232876713,2.5680273972602743,19.38375342465753
SUBANG,2019,75.69,Padi,25.741178082191784,30.0132602739726,22.154082191780823,2131.2,80.18934246575343,1.684109589041096,19.17709589041096
PURWAKARTA,2019,65.87,Padi,25.741178082191784,30.0132602739726,22.154082191780823,2131.2,80.18934246575343,1.684109589041096,19.17709589041096
KARAWANG,2019,73.91,Padi,25.741178082191784,30.0132602739726,22.154082191780823,2131.2,80.18934246575343,1.684109589041096,19.17709589041096
BEKASI,2019,68.09,Padi,26.45708219178082,29.97858904109589,23.535150684931505,3997.12,80.3852602739726,1.802095890410959,18.77358904109589
BANDUNG BARAT,2019,66.59,Padi,21.619205479452056,26.39630136986301,17.983616438356165,2745.19,86.05961643835616,1.4347671232876713,19.17709589041096
PANGANDARAN,2019,71.02,Padi,25.189123287671237,29.48432876712329,22.1687397260274,2018.13,85.41961643835616,1.8881917808219175,18.645945205479453
DEPOK,2019,63.3,Padi,25.20117808219178,29.71180821917808,21.48419178082192,2113.59,81.90191780821918,1.2931780821917809,18.37008219178082
CIMAHI,2019,71.13,Padi,21.619205479452056,26.39630136986301,17.983616438356165,2745.19,86.05961643835616,1.4347671232876713,19.17709589041096
BANJAR,2019,67.96,Padi,26.07012328767123,30.597164383561644,22.8933698630137,4219.91,83.55787671232876,1.3736027397260275,18.67454794520548
BOGOR,2020,52.89,Padi,25.02598360655738,28.617978142076502,22.24172131147541,6082.9800000000005,86.91445355191256,1.454016393442623,16.67360655737705
SUKABUMI,2020,51.2,Padi,24.19546448087432,27.823497267759564,21.474071038251367,7540.5,88.41601092896174,1.6089344262295082,17.470887978142077
CIANJUR,2020,53.6,Padi,24.19546448087432,27.823497267759564,21.474071038251367,3770.25,88.41601092896174,1.6089344262295082,17.383743169398908
BANDUNG,2020,54.78,Padi,21.808169398907104,25.606775956284157,18.93505464480874,8295.7,89.92691256830601,1.4977049180327868,17.51903005464481
GARUT,2020,53.13,Padi,23.10784153005464,26.89333333333333,20.295573770491803,3730.78,88.97565573770491,1.4966666666666666,17.65431693989071
TASIKMALAYA,2020,58.67,Padi,24.29428961748633,27.5046174863388,22.07002732240437,11873.06,90.02259562841529,2.107650273224044,17.17065573770492
CIAMIS,2020,53.48,Padi,24.29428961748633,27.5046174863388,22.07002732240437,5936.53,90.02259562841529,2.107650273224044,17.17065573770492
KUNINGAN,2020,60.31,Padi,25.24136612021858,28.832568306010927,22.561857923497268,3538.64,87.37079234972677,1.6683333333333334,17.96502732240437
CIREBON,2020,57.9,Padi,26.69035519125683,28.992131147540984,24.867964480874317,6926.67,83.4842349726776,2.5610382513661203,17.96502732240437
MAJALENGKA,2020,57.59,Padi,23.10784153005464,26.89333333333333,20.295573770491803,3730.78,88.97565573770491,1.4966666666666666,17.96502732240437
SUMEDANG,2020,54.34,Padi,25.77827868852459,28.845327868852458,23.326448087431693,4183.07,91.8771038251366,0.0904098360655737,17.31379781420765
INDRAMAYU,2020,56.72,Padi,26.785601092896176,29.62584699453552,24.49950819672131,3369.5,82.86284153005464,2.367103825136612,17.96502732240437
SUBANG,2020,56.39,Padi,25.62636612021858,29.054043715847,22.88964480874317,3074.93,85.15939890710382,1.7435792349726775,17.383743169398908
PURWAKARTA,2020,52.71,Padi,25.62636612021858,29.054043715847,22.88964480874317,3074.93,85.15939890710382,1.7435792349726775,17.383743169398908
KARAWANG,2020,58.37,Padi,25.62636612021858,29.054043715847,22.88964480874317,3074.93,85.15939890710382,1.7435792349726775,17.383743169398908
BEKASI,2020,48.97,Padi,26.29577868852459,29.094822404371584,24.08889344262295,5734.92,84.98290983606557,1.9379234972677597,17.028674863387977
BANDUNG BARAT,2020,55.61,Padi,21.808169398907104,25.606775956284157,18.93505464480874,4147.85,89.92691256830601,1.4977049180327868,17.383743169398908
PANGANDARAN,2020,52.48,Padi,25.639972677595622,29.05521857923497,23.175409836065576,4240.76,88.09434426229508,1.7930054644808744,17.17065573770492
DEPOK,2020,58.32,Padi,25.02598360655738,28.617978142076502,22.24172131147541,3041.49,86.91445355191256,1.454016393442623,16.67360655737705
CIMAHI,2020,54.07,Padi,21.808169398907104,25.606775956284157,18.93505464480874,4147.85,89.92691256830601,1.4977049180327868,17.383743169398908
BANJAR,2020,55.49,Padi,26.20733606557377,29.91247267759563,23.586106557377047,8294.56,86.89698087431694,1.2750819672131148,17.245054644808743
BOGOR,2015,44.44,Jagung,24.824246575342467,29.196575342465756,21.26060273972603,4209.4,83.25235616438356,1.4021917808219178,17.839013698630136
SUKABUMI,2015,62.86,Jagung,23.821534246575343,28.24641095890411,20.3852602739726,4990.16,85.4112602739726,1.5280821917808218,18.659657534246573
CIANJUR,2015,74.72,Jagung,23.821534246575343,28.24641095890411,20.3852602739726,2495.08,85.4112602739726,1.5280821917808218,18.590794520547945
BANDUNG,2015,49.86,Jagung,21.39553424657534,26.023561643835617,17.8353698630137,5204.82,86.70380821917809,1.4161917808219178,18.873465753424657
GARUT,2015,83.02,Jagung,22.67235616438356,27.16049315068493,19.296219178082197,2159.37,86.17005479452055,1.5727945205479454,19.15613698630137
TASIKMALAYA,2015,63.81,Jagung,23.652493150684933,27.454630136986303,20.97827397260274,5862.18,88.52298630136985,1.977780821917808,18.406027397260274
CIAMIS,2015,62.36,Jagung,23.652493150684933,27.454630136986303,20.97827397260274,2931.09,88.52298630136985,1.977780821917808,18.406027397260274
KUNINGAN,2015,79.0,Jagung,24.93649315068493,29.26619178082192,21.67454794520548,1814.7,84.32728767123288,1.762246575342466,18.840849315068493
CIREBON,2015,77.31,Jagung,26.37061643835616,29.16790410958904,24.134424657534247,4059.06,80.8492191780822,2.763232876712329,18.840849315068493
MAJALENGKA,2015,75.95,Jagung,22.67235616438356,27.16049315068493,19.296219178082197,2159.37,86.17005479452055,1.5727945205479454,18.840849315068493
SUMEDANG,2015,73.35,Jagung,25.62361643835617,28.79005479452055,23.03265753424657,3166.3,91.1518082191781,0.1063835616438356,16.419671232876713
